game_key,app_id,title,genre,genre_count_observed,genre_weight_observed,source_rank,attributed_revenue_base,inclusive_revenue_base,commercial_success_flag,source_url,observed_price_usd,owners_range_observed,score_percent_observed,owners_midpoint
1a870cd456c8,,F1 2021,Sports,1,1,13,0,,,https://steamspy.com/genre/Sports,,"1,000,000 .. 2,000,000",0.86,1500000
1ea100c751c1,,DiRT Rally,Sports,1,1,14,0,,,https://steamspy.com/genre/Sports,,"2,000,000 .. 5,000,000",0.86,3500000
cd10d2ff00b0,,Rocket League,Sports,1,1,15,0,,,https://steamspy.com/genre/Sports,,"10,000,000 .. 20,000,000",0.86,15000000
789404fa0888,,Assetto Corsa,Sports,1,1,16,29940.000000000004,29940.000000000004,0,https://steamspy.com/genre/Sports,4.99,"0 .. 20,000",0.85,10000
69e7bae2eec3,,Football Manager 2022,Sports,1,1,17,0,,,https://steamspy.com/genre/Sports,,"2,000,000 .. 5,000,000",0.85,3500000
b5a4f04f824d,,Knockout League - Arcade VR Boxing,Sports,1,1,18,419789.99999999994,419789.99999999994,0,https://steamspy.com/genre/Sports,19.99,"20,000 .. 50,000",0.84,35000
ddc8b7b97ce6,,GT Legends,Sports,1,1,19,47939.99999999999,47939.99999999999,0,https://steamspy.com/genre/Sports,7.99,"0 .. 20,000",0.84,10000
f16ef7000606,,Sprint Vector,Sports,1,1,20,94290,94290,0,https://steamspy.com/genre/Sports,4.49,"20,000 .. 50,000",0.84,35000
f6217fc6eb8f,,SpeedRunners,Sports,1,1,22,6279000,6279000,1,https://steamspy.com/genre/Sports,2.99,"2,000,000 .. 5,000,000",0.84,3500000
5d016f406ae9,,Baldur's Gate 3,Strategy,3,0.3333333333333333,1,314930000,944790000,1,https://steamspy.com/genre/Strategy,44.99,"20,000,000 .. 50,000,000",0.96,35000000
c40260ae2e82,,Sid Meier's Civilization IV,Strategy,1,1,2,17990999.999999996,17990999.999999996,1,https://steamspy.com/genre/Strategy,19.99,"1,000,000 .. 2,000,000",0.94,1500000
